YEAR,W,L,WINS%
2011,95,67,58.64197531
2010,81,81,50
2009,86,77,52.7607362
2008,74,88,45.67901235
2007,88,74,54.32098765
2006,95,67,58.64197531
2005,71,91,43.82716049
2004,72,90,44.44444444
2003,43,119,26.54320988
2002,55,106,34.16149068
2001,66,96,40.74074074
2000,79,83,48.7654321
1999,69,92,42.85714286
1998,65,97,40.12345679
1997,79,83,48.7654321
1996,53,109,32.71604938
1995,60,84,41.66666667
1994,53,62,46.08695652
1993,85,77,52.4691358
1992,75,87,46.2962963
1991,84,78,51.85185185
1990,79,83,48.7654321
1989,59,103,36.41975309
1988,88,74,54.32098765
1987,98,64,60.49382716
1986,87,75,53.7037037
1985,84,77,52.17391304
1984,104,58,64.19753086
1983,92,70,56.79012346
1982,83,79,51.2345679
1981,60,49,55.04587156
1980,84,78,51.85185185
1979,85,76,52.79503106
1978,86,76,53.08641975
1977,74,88,45.67901235
1976,74,87,45.96273292
1975,57,102,35.8490566
1974,72,90,44.44444444
1973,85,77,52.4691358
1972,86,70,55.12820513
1971,91,71,56.17283951
1970,79,83,48.7654321
1969,90,72,55.55555556
1968,103,59,63.58024691
1967,91,71,56.17283951
1966,88,74,54.32098765
1965,89,73,54.9382716
1964,85,77,52.4691358
1963,79,83,48.7654321
1962,85,76,52.79503106
1961,101,61,62.34567901
1960,71,83,46.1038961
1959,76,78,49.35064935
1958,77,77,50
1957,78,76,50.64935065
1956,82,72,53.24675325
1955,79,75,51.2987013
1954,68,86,44.15584416
1953,60,94,38.96103896
1952,50,104,32.46753247
1951,73,81,47.4025974
1950,95,59,61.68831169
1949,87,67,56.49350649
1948,78,76,50.64935065
1947,85,69,55.19480519
1946,92,62,59.74025974
1945,88,65,57.51633987
1944,88,66,57.14285714
1943,78,76,50.64935065
1942,73,81,47.4025974
1941,75,79,48.7012987
1940,90,64,58.44155844
1939,81,73,52.5974026
1938,84,70,54.54545455
1937,89,65,57.79220779
1936,83,71,53.8961039
1935,93,58,61.58940397
1934,101,53,65.58441558
1933,75,79,48.7012987
1932,76,75,50.33112583
1931,61,93,39.61038961
1930,75,79,48.7012987
